,W,H,C_IN,KERNEL_SIZE,C_OUT (filters count),STRIDE,PAD,,Layer name
FCN-16s,500,500,3,3,64,1,1,,conv1_1
FCN-16s,250,250,64,3,128,1,1,,conv2_1
FCN-16s,63,63,256,3,512,1,1,,conv4_1
